Plant,Light,Watering,Humidity,Temperature,Fertilizer,Pruning,Propagation,Notes,
Maple,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Oak,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Pine,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Spruce,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Birch,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Willow,Full sun to partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,
Yew,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Juniper,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Boxwood,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune regularly to maintain shape.,,,,,
Holly,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Fern,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. ,,,,
Moss,Shade,Moist, well-drained soil,Water regularly, especially during dry spells. ,,,,
Grass,Full sun,Well-drained soil,Water regularly, especially during dry spells. Mow regularly to maintain height.,,,,,
Clover,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. ,,,,,
Dandelion,Full sun,Well-drained soil,Water regularly, especially during dry spells. ,,,,,
Wildflower,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells.,,,,,
Carnation,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Dianthus,Full sun,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Delphinium,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Stake tall varieties for support. Deadhead spent flowers to encourage more blooms.,,,,,
Foxglove,Partial shade,Well-drained soil,Water regularly, especially during dry spells. Remove seed pods to prevent self-seeding.,,,,,
Snapdragon,Full sun,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Sweet Pea,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Provide support for climbing vines.,,,,,
Poppy,Full sun,Well-drained soil,Water sparingly, especially during dry spells. Allow the foliage to die back after flowering.,,,,,
Aster,Full sun,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Chrysanthemum,Full sun,Well-drained soil,Water regularly, especially during dry spells. Pinch back stems in early spring to encourage bushier growth.,,,,,
Dahlia,Full sun,Well-drained soil,Water regularly, especially during dry spells. Stake tall varieties for support. Deadhead spent flowers to encourage more blooms.,,,,,
Gladiolus,Full sun,Well-drained soil,Water regularly, especially during dry spells. Plant corms in spring. Stake tall varieties for support.,,,,,
Iris,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Divide clumps every 3-5 years.,,,,,
Lily,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall or spring.,,,,,
Tulip,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Daffodil,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Hyacinth,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Crocus,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Snowdrop,Partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Allium,Full sun,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Freesia,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Calla Lily,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Plant bulbs in spring.,,,,
Amaryllis,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Plant bulbs in fall or spring.,,,,,,
Begonia,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. ,,,,
Fuchsia,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Pinch back stems to encourage bushier growth.,,,,
Impatiens,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,
Petunia,Full sun,Well-drained soil,Water regularly, especially during dry spells. Pinch off spent flowers to encourage more blooms.,,,,,
Geranium,Full sun,Well-drained soil,Water regularly, especially during dry spells. Pinch back stems to encourage bushier growth.,,,,,
Marigold,Full sun,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Zinnia,Full sun,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Cosmos,Full sun,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Sunflower,Full sun,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Salvia,Full sun,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Dahlia,Full sun,Well-drained soil,Water regularly, especially during dry spells. Stake tall varieties for support. Deadhead spent flowers to encourage more blooms.,,,,,
Rose,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Hydrangea,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Prune after flowering to encourage more blooms.,,,,
Azalea,Partial shade,Acidic soil,Water regularly, especially during dry spells. Mulch around the base of the plant to help retain moisture.,,,,,
Rhododendron,Partial shade,Acidic soil,Water regularly, especially during dry spells. Mulch around the base of the plant to help retain moisture.,,,,,
Camellia,Partial shade,Acidic soil,Water regularly, especially during dry spells. Prune after flowering to maintain shape.,,,,,
Clematis,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Provide support for climbing varieties. Prune after flowering to encourage more blooms.,,,,,
Wisteria,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Lilac,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune after flowering to encourage more blooms.,,,,,
Magnolia,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Dogwood,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,
Maple,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Oak,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Pine,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Spruce,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Birch,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Willow,Full sun to partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,
Yew,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Juniper,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Boxwood,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune regularly to maintain shape.,,,,,
Holly,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Fern,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. ,,,,
Moss,Shade,Moist, well-drained soil,Water regularly, especially during dry spells. ,,,,
Grass,Full sun,Well-drained soil,Water regularly, especially during dry spells. Mow regularly to maintain height.,,,,,
Clover,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. ,,,,,
Dandelion,Full sun,Well-drained soil,Water regularly, especially during dry spells. ,,,,,
Wildflower,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells.,,,,,
Plant,Growth Condition,Care Instructions,Notes,,,,,,
African Violet,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid getting water on the leaves.,,,,,,
Alocasia,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Anthurium,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Asparagus Fern,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Begonia,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Bird of Paradise,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Fertilize during the growing season.,,,,,,
Bromeliad,Bright indirect light,Well-drained potting mix,Water by filling the cup in the center of the plant. Fertilize during the growing season.,,,,,,
Calathea,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Chinese Evergreen,Low light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid overwatering.,,,,,,
Croton,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Dieffenbachia,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid overwatering.,,,,,,
Dracaena,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Can be propagated by cuttings.,,,,,,
Fiddle Leaf Fig,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Gloxinia,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid getting water on the leaves.,,,,,,
Gesneria,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid getting water on the leaves.,,,,,,
Haworthia,Full sun to partial shade,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. Prune off any dead or damaged leaves.,,,,,
Kalanchoe,Full sun to partial shade,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. Prune off any dead or damaged leaves.,,,,,
Maranta,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Monstera Deliciosa,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry.  Can be propagated by cuttings.,,,,,,
Peace Lily,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Peperomia,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid overwatering.,,,,,,
Philodendron,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Can be propagated easily by cuttings.,,,,,,
Pothos,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry.  Can be propagated easily in water or soil.,,,,,,
Rubber Plant,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Snake Plant,Low light,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. Fertilize with balanced fertilizer once a month during the growing season.,,,,,
Spider Plant,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry.  Propagate easily by taking cuttings.,,,,,,
Streptocarpus,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid getting water on the leaves.,,,,,,
Succulents,Full sun to partial shade,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. Repot in a well-draining pot.,,,,,
ZZ Plant,Low light,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. Very drought-tolerant.,,,,,
Plant,Growth Condition,Care Instructions,Notes,,,,,,
Basil,Full sun,Well-drained soil,Water regularly, especially during hot weather. Pinch off flower buds to encourage leaf growth.,,,,,
Bell Pepper,Full sun,Well-drained soil,Water regularly, especially during hot weather. Pinch off flower buds to encourage larger fruit. Harvest peppers when they are fully colored.,,,,,
Broccoli,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest broccoli heads when they are tight and compact.,,,,,
Cabbage,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest cabbage heads when they are firm and dense.,,,,,
Carrot,Full sun,Well-drained soil,Water regularly, especially during the first few weeks of growth. Harvest carrots when they are mature and orange.,,,,,
Cauliflower,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest cauliflower heads when they are white and compact.,,,,,
Celery,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Harvest celery stalks when they are about 8 inches long.,,,,,
Chard,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Harvest chard leaves when they are about 6 inches tall.,,,,,
Chives,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest chives leaves as needed.,,,,,
Cilantro,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Harvest cilantro leaves as needed.,,,,,
Cucumber,Full sun,Well-drained soil,Water regularly, especially during hot weather. Provide trellises or cages for vines to climb. Harvest cucumbers when they are young and tender.,,,,,
Dill,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest dill leaves as needed.,,,,,
Eggplant,Full sun,Well-drained soil,Water regularly, especially during hot weather. Harvest eggplants when they are firm and glossy.,,,,,
Fennel,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest fennel bulbs when they are about 3 inches in diameter.,,,,,
Garlic,Full sun,Well-drained soil,Water regularly, especially during the first few weeks of growth. Harvest garlic when the tops have died back.,,,,,
Kale,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Harvest kale leaves when they are young and tender.,,,,,
Lettuce,Partial shade,Well-drained soil,Water regularly, especially during dry spells. Harvest lettuce leaves when they are young and tender.,,,,,
Mint,Partial shade,Moist, well-drained soil,Plant in containers to control its spread. Harvest mint leaves as needed.,,,,,
Onion,Full sun,Well-drained soil,Water regularly, especially during the first few weeks of growth. Harvest onions when the tops have died back.,,,,,
Oregano,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest oregano leaves as needed.,,,,,
Parsley,Partial shade,Moist, well-drained soil,Harvest leaves regularly to encourage new growth.,,,,,
Pea,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest peas when they are young and tender.,,,,,
Potato,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest potatoes when they are about 2 inches in diameter.,,,,,
Pumpkin,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest pumpkins when they are ripe and orange.,,,,,
Radish,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest radishes when they are about an inch in diameter.,,,,,
Rosemary,Full sun,Well-drained soil,Water sparingly, prune in spring to maintain shape.,,,,,
Sage,Full sun,Well-drained soil,Prune after flowering to maintain shape.,,,,,,
Spinach,Partial shade,Well-drained soil,Water regularly, especially during dry spells. Harvest spinach leaves when they are young and tender.,,,,,
Squash,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest squash when they are ripe and firm.,,,,,
Summer Squash,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest squash when they are young and tender.,,,,,
Swiss Chard,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Harvest Swiss chard leaves when they are about 6 inches tall.,,,,,
Tarragon,Full sun,Well-drained soil,Harvest leaves regularly to encourage new growth.,,,,,,
Thyme,Full sun,Well-drained soil,Cut back stems after flowering to promote bushier growth.,,,,,,
Tomato,Full sun,Well-drained soil,Water regularly, especially during hot weather. Stake tall varieties for support. Pinch off suckers (small shoots growing from the base of the plant) to encourage fruit production.,,,,,
Turnip,Full sun,Well-drained soil,Water regularly, especially during dry spells. Harvest turnips when they are about 2 inches in diameter.,,,,,
Agave,Full sun,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. ,,,,,
Bird of Paradise,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Fertilize during the growing season.,,,,,,
Bougainvillea,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune after flowering to encourage more blooms.,,,,,
Boxwood,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune regularly to maintain shape.,,,,,
Camellia,Partial shade,Acidic soil,Water regularly, especially during dry spells. Prune after flowering to maintain shape.,,,,,
Carnation,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Chinese Evergreen,Low light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid overwatering.,,,,,,
Clematis,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Provide support for climbing varieties. Prune after flowering to encourage more blooms.,,,,,
Crocus,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Dahlia,Full sun,Well-drained soil,Water regularly, especially during dry spells. Stake tall varieties for support. Deadhead spent flowers to encourage more blooms.,,,,,
Daffodil,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Delphinium,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Stake tall varieties for support. Deadhead spent flowers to encourage more blooms.,,,,,
Dianthus,Full sun,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Dieffenbachia,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid overwatering.,,,,,,
Dogwood,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,
Dracaena,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Can be propagated by cuttings.,,,,,,
Fiddle Leaf Fig,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Forsythia,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune after flowering to encourage more blooms.,,,,,
Foxglove,Partial shade,Well-drained soil,Water regularly, especially during dry spells. Remove seed pods to prevent self-seeding.,,,,,
Freesia,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Fuchsia,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Pinch back stems to encourage bushier growth.,,,,
Gardenia,Partial shade,Acidic soil,Water regularly, especially during dry spells. Fertilize during the growing season.,,,,,
Geranium,Full sun,Well-drained soil,Water regularly, especially during dry spells. Pinch back stems to encourage bushier growth.,,,,,
Gladiolus,Full sun,Well-drained soil,Water regularly, especially during dry spells. Plant corms in spring. Stake tall varieties for support.,,,,,
Gloxinia,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid getting water on the leaves.,,,,,,
Haworthia,Full sun to partial shade,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. Prune off any dead or damaged leaves.,,,,,
Hibiscus,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Fertilize during the growing season.,,,,,
Holly,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Hydrangea,Partial shade,Acidic soil,Water regularly, especially during dry spells. Fertilize during the growing season.,,,,,
Hyacinth,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Impatiens,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,
Iris,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Divide clumps every 3-5 years.,,,,,
Jasmine,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune after flowering to encourage more blooms.,,,,,
Juniper,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Kalanchoe,Full sun to partial shade,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. Prune off any dead or damaged leaves.,,,,,
Lavender,Full sun,Well-drained soil,Water regularly, especially during the first year, deadhead spent flowers to encourage more blooms.,,,,
Lilac,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune after flowering to encourage more blooms.,,,,,
Lily,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall or spring.,,,,,
Magnolia,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Maple,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Marigold,Full sun,Well-drained soil,Deadhead spent flowers to encourage more blooms.,,,,,,
Monstera Deliciosa,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Can be propagated by cuttings.,,,,,,
Oak,Full sun,Well-drained soil,Water regularly, especially during the first year.,,,,,
Orchid,Bright indirect light,Bark-based potting mix,Water when the bark is dry, but not completely soaked. Fertilize with orchid fertilizer once a month during the growing season.,,,,,
Peace Lily,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Peony,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Divide clumps every 3-5 years.,,,,,
Peperomia,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid overwatering.,,,,,,
Petunia,Full sun,Well-drained soil,Water regularly, especially during dry spells. Pinch off spent flowers to encourage more blooms.,,,,,
Philodendron,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Can be propagated easily by cuttings.,,,,,,
Pine,Full sun,Well-drained soil,Water regularly during dry spells.,,,,,,
Pothos,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Can be propagated easily in water or soil.,,,,,,
Poppy,Full sun,Well-drained soil,Water sparingly, especially during dry spells. Allow the foliage to die back after flowering.,,,,,
Rhododendron,Partial shade,Acidic soil,Water regularly, especially during dry spells. Mulch around the base of the plant to help retain moisture.,,,,,
Rose,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Rubber Plant,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Salvia,Full sun,Well-drained soil,Deadhead spent flowers to encourage more blooms.,,,,,,
Snapdragon,Full sun,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Snowdrop,Partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Snake Plant,Low light,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. Fertilize with balanced fertilizer once a month during the growing season.,,,,,
Spirea,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune after flowering to encourage more blooms.,,,,,
Spider Plant,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Propagate easily by taking cuttings.,,,,,,
Spruce,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Strawberry,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Mulch around the plants to help retain moisture. ,,,,,
Succulents,Full sun to partial shade,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. Repot in a well-draining pot.,,,,,
Sunflower,Full sun,Well-drained soil,Water regularly during the first year, deadhead spent flowers to encourage more blooms.,,,,,
Sweet Pea,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Provide support for climbing vines.,,,,,
Tarragon,Full sun,Well-drained soil,Harvest leaves regularly to encourage new growth.,,,,,,
Thyme,Full sun,Well-drained soil,Cut back stems after flowering to promote bushier growth.,,,,,,
Tulip,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Viburnum,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune after flowering to encourage more blooms.,,,,,
Weigela,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune after flowering to encourage more blooms.,,,,,
Wisteria,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Willow,Full sun to partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,
Yew,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,,
Zinnia,Full sun,Well-drained soil,Water regularly during dry spells.,,,,,,
ZZ Plant,Low light,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. Very drought-tolerant.,,,,,
Plant,Growth Condition,Care Instructions,Notes,,,,,,
African Violet,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid getting water on the leaves.,,,,,,
Agave,Full sun,Well-drained soil,Water sparingly, allowing soil to dry out between waterings.,,,,,
Alocasia,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Anthurium,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Asparagus Fern,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Azalea,Partial shade,Acidic soil,Water regularly, especially during dry spells. Mulch around the base of the plant to help retain moisture.,,,,,
Begonia,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Bird of Paradise,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Fertilize during the growing season.,,,,,,
Boxwood,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Prune regularly to maintain shape.,,,,,
Bromeliad,Bright indirect light,Well-drained potting mix,Water by filling the cup in the center of the plant. Fertilize during the growing season.,,,,,,
Cactus,Full sun,Well-drained soil,Water sparingly, allowing soil to dry out between waterings. Fertilize during the growing season.,,,,,
Calathea,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Camellia,Partial shade,Acidic soil,Water regularly, especially during dry spells. Prune after flowering to maintain shape.,,,,,
Carnation,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Chinese Evergreen,Low light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid overwatering.,,,,,,
Chrysanthemum,Full sun,Well-drained soil,Water regularly, especially during dry spells. Pinch back stems in early spring to encourage bushier growth.,,,,,
Clematis,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Provide support for climbing varieties. Prune after flowering to encourage more blooms.,,,,,
Crocus,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Croton,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Dahlia,Full sun,Well-drained soil,Water regularly, especially during dry spells. Stake tall varieties for support. Deadhead spent flowers to encourage more blooms.,,,,,
Daffodil,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Delphinium,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Stake tall varieties for support. Deadhead spent flowers to encourage more blooms.,,,,,
Dianthus,Full sun,Well-drained soil,Water regularly, especially during dry spells. Deadhead spent flowers to encourage more blooms.,,,,,
Dieffenbachia,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Avoid overwatering.,,,,,,
Dogwood,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Prune in late winter or early spring.,,,,
Dracaena,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Can be propagated by cuttings.,,,,,,
Fiddle Leaf Fig,Bright indirect light,Well-drained potting mix,Water when the top inch of soil is dry. Keep the humidity high.,,,,,,
Forsythia,Full sun,Well-drained soil,Water regularly, especially during dry spells. Prune after flowering to encourage more blooms.,,,,,
Foxglove,Partial shade,Well-drained soil,Water regularly, especially during dry spells. Remove seed pods to prevent self-seeding.,,,,,
Freesia,Full sun to partial shade,Well-drained soil,Water regularly, especially during dry spells. Plant bulbs in fall.,,,,,
Fuchsia,Partial shade,Moist, well-drained soil,Water regularly, especially during dry spells. Pinch back stems to encourage bushier growth.,,,,
Gardenia,Partial shade,Acidic soil,Water regularly, especially during dry spells. Fertilize during the growing season.,,,,,
Geranium,Full sun,Well-drained soil,Water regularly, especially during dry spells. Pinch back stems to encourage bushier growth.,,,,,
